Arena Parking Area,,42.3407639,-71.0857747,
Architecture Studio,,42.3371012,-71.0892221,
Asian-American Center,109 Hemenway St.,42.34317,-71.090347,
Badger-Rosen SquashBusters Center,795 Columbus Ave.,42.338203,-71.086054,9
Barletta Natarorium,400 Huntington Ave.,42.339017,-71.089918,
Behrakis Health Sciences Center,30 Leon St.,42.336997,-71.091433,2
Burstein Hall,458 Huntington Ave.,42.338283,-71.093019,
Cabot Physical Education Center,400 Huntington Ave.,42.339447,-71.089716,7
Cahners Hall,110 The Fenway,42.341472,-71.091509,8
Camden Parking Area,,42.339493,-71.085174,
Catholic Center,68 St. Stephen St.,42.341657,-71.087449,
Cargill Hall,45 Forsyth St.,42.33894,-71.091638,
Churchill Hall,380 Huntington Ave.,42.338773,-71.088925,4
Columbus Parking Garage,,42.338155,-71.086659,9
Columbus Place & Alumni Center,716 Columbus Ave.,42.337677,-71.085284,9
Cullinane Hall,288 Huntington Ave.,42.340081,-71.086506,5
Curry Student Center,346 Huntington Ave.,42.339143,-71.087571,4
Cushing Hall,102 The Fenway,42.341663,-71.091406,8
Dana Research Center,110 Forsyth St.,42.338082,-71.089346,
Davenport Commons A,700 Columbus Ave.,42.337982,-71.084764,9
Davenport Commons B,696 Columbus Ave.,42.338308,-71.084267,9
Dockser Hall,65 Forsyth St.,42.338688,-71.090495,
Dodge Hall,324 Huntington Ave.,42.340316,-71.087856,3
Egan Engineering/Science Research Center (EC) & Raytheon Amphitheater,120 Forsyth St.,42.33768,-71.08888,
Ell Hall,346 Huntington Ave.,42.33979,-71.088071,3
Fenway Center,77 St. Stephens St.,42.342089,-71.087969,
Forsyth Building,70 Forsyth St.,42.338561,-71.089619,
Gainsborough Parking Garage,10 Gainsborough St,42.340382,-71.085749,
Hayden Hall,370 Huntington Ave.,42.339262,-71.088538,4
Hillel-Frager,70 St. Stephen St.,42.341596,-71.087599,
Holmes Hall,39-41 Leon St.,42.338027,-71.090795,
Hurtig Hall,334 Huntington Ave.,42.339765,-71.086172,5
Hurtig Parking Area,10 Gainsborough St,42.340356,-71.085807,
International Village,1155-1175 Tremont St.,42.335099,-71.089172,
John D. O'Bryant African-American Institute,40 Leon St.,42.337487,-71.091607,2
Kariotis Hall,55 Forsyth St.,42.33867,-71.090912,
Kennedy Hall,119 Hemenway St.,42.343037,-71.090424,
Kerr Hall,96 The Fenway,42.341877,-71.091275,8
Knowles Center,416 Huntington Ave.,42.339199,-71.090884,
Lake Hall,2 Leon St.,42.338298,-71.090766,
Latino/a Student Cultural Center,104 Forsyth St.,42.338169,-71.089751,
Levine Hall and St. Stephen St. Complex,122 St. Stephen St.,42.341131,-71.088849,
Light Hall,81-83 St. Stephen St.,42.341801,-71.088154,
Loftman Hall,157 Hemenway St.,42.341732,-71.09085,
153 Hemenway St.,153 Hemenway St.,42.341844,-71.090871,
Matthews Arena,238-262 St. Botolph St.,42.341235,-71.084529,
Marino Recreation Center,359-369 Huntington Ave.,42.340306,-71.090348,
Melvin Hall,90 The Fenway,42.342095,-71.091133,8
Meserve Hall,35-37 Leon St.,42.337633,-71.090849,2
Mugar Life Sciences Building,330 Huntington Ave,42.339774,-71.087114,5
Nightingale Hall,105-107 Forsyth St.,42.338101,-71.089988,
North Parking Area,,42.341656,-71.089507,
Power Plant,,42.3379995,-71.0908,
Renaissance Park,1135 Tremont St.,42.335564,-71.088218,
Renaissance Park Garage,835 Columbus Ave,42.336283,-71.088395,9
Richards Hall,360 Huntington Ave.,42.339964,-71.088657,3
Robinson Hall,336 Huntington Ave.,42.339261,-71.086724,5
ROTC Office,335A Huntington Ave.,42.340809,-71.088563,
Rubenstein Hall,464 Huntington Ave.,42.338278,-71.093456,
Ryder Hall,11 Leon St.,42.33661,-71.090852,2
Shillman Hall,115 Forsyth St.,42.337556,-71.09019,2
Smith Hall,129 Hemenway St.,42.342519,-71.090595,
Snell Engineering Center,110 Forsyth St.,42.338293,-71.088882,4
Snell Library,376 Huntington Ave.,42.338404,-71.088082,4
Speare Hall,10 Speare Pl.,42.340707,-71.089713,6
Stearns Center,420 Huntington Ave.,42.338998,-71.091374,
Stetson East,11 Speare Pl.,42.34141,-71.090246,6
Stetson West,10 Forsyth St.,42.340934,-71.090726,6
West Village A North,500 Parker St.,42.337779,-71.092831,1
West Village A South,510 Parker St.,42.33717,-71.093274,1
West Village B,460 Parker St.,42.337622,-71.092094,1
West Village C,480 Parker St.,42.337166,-71.092358,1
West Village E,10 Leon St.,42.336739,-71.092068,1
West Village F,40A Leon St.,42.337405,-71.091536,1
West Village G,450 Parker St.,42.338272,-71.091987,1
West Village H,440 Huntington Ave.,42.338641,-71.092289,1
West Village Parking Garage,,42.336646,-71.091355,1
White Hall,21 Forsyth St.,42.339978,-71.091141,
Willis Hall,50 Leon St.,42.337932,-71.091298,
YMCA,316 Huntington Ave.,42.340729,-71.087292,
10 Coventry Street,10 Coventry Street,42.33694,-71.085948,9
142-148 Hemenway St.,142-148 Hemenway St.,42.341943,-71.090299,
319 Huntington Ave.,319 Huntington Ave.,42.341046,-71.087946,
337 Huntington Ave.,337 Huntington Ave.,42.340721,-71.088816,
407 Huntington Ave.,407 Huntington Ave.,42.339583,-71.091456,
780 Columbus Ave.,780 Columbus Ave.,42.336802,-71.086822,9
East Village,291 St Botolph St.,42.340439,-71.086882,
Interdisciplinary Science & Engineering Complex (ISEC),805 Columbus Ave.,42.337501,-71.087215,9
Ruggles Station,,42.336643,-71.089412,